Sample,scg,tel,eff.scg,eff.tel,plate,ref.tel,ref.scg
EP6.77,19.883,13.235,1.843,1.906,2,11.724,17.977
EP6.78,26.286,18.12,1.843,1.906,2,11.724,17.977
EP6.78,26.286,18.12,1.843,1.906,2,11.724,17.977
EP6.78,26.286,18.12,1.843,1.906,2,11.724,17.977
EP6.79,25.066,17.354,1.843,1.906,2,11.724,17.977
EP6.79,25.066,17.354,1.843,1.906,2,11.724,17.977
EP6.79,25.066,17.354,1.843,1.906,2,11.724,17.977
EP6.80,21.82,14.723,1.843,1.906,2,11.724,17.977
EP6.80,21.82,14.723,1.843,1.906,2,11.724,17.977
EP6.80,21.82,14.723,1.843,1.906,2,11.724,17.977
G1,19.33,8.316,1.847,1.848,1,8.581,17.333
G1,19.33,8.316,1.847,1.848,1,8.581,17.333
G1,19.33,8.316,1.847,1.848,1,8.581,17.333
G10,18.252,7.066,1.847,1.848,1,8.581,17.333
G10,18.252,7.066,1.847,1.848,1,8.581,17.333
G10,18.252,7.066,1.847,1.848,1,8.581,17.333
G11,18.95,8.208,1.847,1.848,1,8.581,17.333
G11,18.95,8.208,1.847,1.848,1,8.581,17.333
G11,18.95,8.208,1.847,1.848,1,8.581,17.333
G2,20.96,12.665,1.847,1.848,1,8.581,17.333
G2,20.96,12.665,1.847,1.848,1,8.581,17.333
G2,20.96,12.665,1.847,1.848,1,8.581,17.333
G4,18.227,9.84,1.847,1.848,1,8.581,17.333
G4,18.227,9.84,1.847,1.848,1,8.581,17.333
G4,18.227,9.84,1.847,1.848,1,8.581,17.333
G5,20.145,8.882,1.847,1.848,1,8.581,17.333
G5,20.145,8.882,1.847,1.848,1,8.581,17.333
G5,20.145,8.882,1.847,1.848,1,8.581,17.333
G6,19.869,11.029,1.847,1.848,1,8.581,17.333
G6,19.869,11.029,1.847,1.848,1,8.581,17.333
G6,19.869,11.029,1.847,1.848,1,8.581,17.333
G7,17.313,7.805,1.847,1.848,1,8.581,17.333
